Date,gold,oil,tsx,vix
2013-05-09,1479.01,96.7479,12543.9,15.05
2013-05-10,1451.17,96.91,12589.09,14.65
2013-05-13,1449.87,96.16,12529.55,17.94
2013-05-14,1450.37,96.0589,12577.05,16.52
2013-05-15,1418.49,95.7509,12473.65,18.14
2013-05-16,1414.25,96.87899999999999,12507.6,16.56
2013-05-17,1403.06,98.8706,12613.05,14.62
2013-05-21,1414.29,98.2245,12742.43,14.77
2013-05-22,1417.79,97.4796,12752.5,14.59
2013-05-23,1434.31,97.0928,12658.09,14.3
2013-05-24,1431.02,96.8262,12667.22,14.59
2013-05-27,1443.44,97.1934,12696.37,15.82
2013-05-28,1434.17,98.882,12750.52,14.59
2013-05-29,1440.27,96.1718,12732.61,14.54
2013-05-30,1453.66,96.3578,12746.55,14.66
2013-05-31,1445.21,95.0654,12650.42,15.7
2013-06-03,1450.87,95.917,12609.8,16.39
2013-06-04,1444.93,97.1292,12593.97,16.06
2013-06-05,1446.57,97.0301,12443.65,16.84
2013-06-06,1453.04,97.2734,12409.33,15.79
2013-06-07,1410.07,98.1218,12373.3,16.5
2013-06-10,1413.05,97.7526,12382.67,16.05
2013-06-11,1402.53,96.7165,12223.57,17.24
2013-06-12,1420.93,97.6807,12109.89,17.9
2013-06-13,1399.29,98.1449,12277.13,16.07
2013-06-14,1410.86,99.5346,12187.36,17.16
2013-06-17,1408.29,99.9844,12288.9,16.57
2013-06-18,1395.49,100.946,12367.46,15.93
2013-06-19,1411.28,100.6464,12268.29,15.71
2013-06-20,1335.86,98.5199,11968.57,18.7
2013-06-21,1350.62,98.1659,11995.66,17.42
2013-06-24,1340.75,99.8322,11836.86,18.96
2013-06-25,1340.06,99.9649,12005.42,16.72
2013-06-26,1287.4,99.9654,11951.9,15.85
2013-06-27,1269.01,101.4533,12005.78,15.89
2013-06-28,1287.4,101.4522,12129.11,14.99
2013-07-02,1311.12,105.2072,12178.38,16.5
2013-07-03,1314.82,106.3805,12145.68,16.3
2013-07-04,1310.75,106.7606,12166.66,13.65
2013-07-05,1283.08,109.51899999999999,12134.91,16.23
2013-07-08,1303.74,108.7406,12208.87,15.63
2013-07-09,1310.92,109.9747,12297.09,14.18
2013-07-10,1305.36,110.9384,12306.93,15.06
2013-07-11,1326.94,108.42,12493.26,13.79
2013-07-12,1328.14,110.3284,12462.18,14.58
2013-07-15,1338.83,111.0661,12528.35,14.28
2013-07-16,1338.59,109.7247,12516.89,14.1
2013-07-17,1329.62,110.52799999999999,12568.77,13.83
2013-07-18,1332.99,112.1155,12628.85,13.07
2013-07-19,1340.76,112.2109,12685.13,12.1
2013-07-22,1381.29,110.5835,12758.38,12.51
2013-07-23,1373.42,110.5033,12745.38,12.71
2013-07-24,1361.64,108.4933,12672.3,13.64
2013-07-25,1366.16,108.5187,12669.14,13.51
2013-07-26,1358.93,107.538,12647.9,12.6
